Hanzi,pinyin,english
一月,yī yuè,January
下午,xià wǔ,Afternoon
不,bù,No
也,yě,too
二月,èryuè,February
今天,jīntiān,Today
他,tā,He
你,nǐ,You
你好,Ní hǎo,How are you?
先生,xiānsheng,Sir
再,zài,Again
冬天,dōngtiān,Winter
冷 (的),(lěng (de)),Cold
北京,Běijīng,Beijin
同志,tóngzhì,Comrade
嗨,hèi,Hi
多,duō,Many
太,tài,Too
太谢谢了,Tài xièxie le,Thanks so much
女士,nǚshì,Lady
她,tā,She
好,hǎo,good
客气,kèqì,polite
小姐,xiáo jiě,Miss
很,hěn,Very
您,nín,You formal
我,wǒ,I
拜拜,Báibai,Bye Bye
早上,zǎoshàng,Morning
明天,míngtiān,Tomorrow
星期,xīngqīyī,Monday
星期二,xīngqī èr,Tuesday
是,shì,Yes
是啊,Shì,Yes!
晚上,wǎn shàng,Evening
热（的）,rè (de),hot—weather
的,de,__possessive
见,jiàn,see to see
认识,rènshi,acquaint
谢谢,Xièxie,Thank you
高兴,gāoxìng,Happy
